run,source,idx,true_vuln,predicted_vuln,predicted_confidence,true_cwe, predicted_cwe
107,primevul,261220,0,1,85,"['CWE-787']","['CWE-674', 'CWE-835', 'CWE-667', 'CWE-758']"
108,primevul,197593,1,0,70,"['CWE-416']","[]"
109,primevul,261769,0,1,90,"['CWE-416']","['CWE-125', 'CWE-787', 'CWE-476']"
110,primevul,197719,1,0,80,"['CWE-125']","[]"
111,primevul,262803,0,1,85,"['CWE-125']","['CWE-20', 'CWE-129', 'CWE-476']"
112,primevul,197760,1,1,85,"['CWE-125']","['CWE-476', 'CWE-129', 'CWE-120']"
113,primevul,263521,0,0,90,"['CWE-125']","[]"
114,primevul,197824,1,1,85,"['CWE-416']","['CWE-476', 'CWE-', 'CWE-400']"
115,primevul,264657,0,0,75,"['CWE-416']","[]"
116,primevul,197973,1,1,85,"['CWE-276']","[]"
117,primevul,267357,0,0,85,"['CWE-276']","[]"
118,primevul,198116,1,1,85,"['CWE-125']","['CWE-129', 'CWE-15', 'CWE-416']"
119,primevul,269323,0,0,95,"['CWE-125']","[]"
120,primevul,198117,1,1,80,"['CWE-476']","['CWE-129', 'CWE-369']"
121,primevul,269330,0,0,85,"['CWE-476']","['CWE-369', 'CWE-125']"
122,primevul,198350,1,0,85,"['CWE-416']","[]"
123,primevul,273091,0,0,85,"['CWE-416']","['CWE-772']"
124,primevul,198399,1,1,85,"['CWE-787']","['CWE-20', 'CWE-121']"
125,primevul,273880,0,1,90,"['CWE-787']","['CWE-20', 'CWE-681']"
126,primevul,198449,1,0,95,"['CWE-787']","[]"
127,primevul,274814,0,0,95,"['CWE-787']","[]"
128,primevul,198476,1,1,70,"['CWE-416']","['CWE-400', 'CWE-416', 'CWE-822']"
129,primevul,275525,0,1,85,"['CWE-416']","['CWE-20', 'CWE-772', 'CWE-363']"
130,primevul,198523,1,0,85,"['CWE-416']","['CWE-20', 'CWE-756', 'CWE-703']"
131,primevul,276447,0,0,95,"['CWE-416']","[]"
132,primevul,198545,1,1,90,"['CWE-787']","['CWE-20', 'CWE-120', 'CWE-190']"
133,primevul,276921,0,0,80,"['CWE-787']","[]"
134,primevul,198566,1,0,85,"['CWE-787']","[]"
135,primevul,277489,0,1,85,"['CWE-787']","['CWE-119', 'CWE-130', 'CWE-775']"
136,primevul,198662,1,1,85,"['CWE-787']","['CWE-129', 'CWE-401', 'CWE-775']"
137,primevul,279948,0,1,85,"['CWE-787']","['CWE-20', 'CWE-367', 'CWE-125', 'CWE-416']"
138,primevul,198692,1,0,95,"['CWE-125']","[]"
139,primevul,281119,0,1,85,"['CWE-125']","['CWE-121', 'CWE-476']"
140,primevul,198743,1,0,80,"['CWE-125']","[]"
141,primevul,282984,0,0,90,"['CWE-125']","[]"
142,primevul,198927,1,1,80,"['CWE-125']","['CWE-787']"
143,primevul,285157,0,0,85,"['CWE-125']","['CWE-119', 'CWE-476']"
144,primevul,198983,1,1,85,"['CWE-125']","['CWE-785', 'CWE-120', 'CWE-775']"
145,primevul,286739,0,1,85,"['CWE-125']","['CWE-131', 'CWE-125', 'CWE-476']"
146,primevul,199159,1,1,85,"['CWE-362']","['CWE-362', 'CWE-248', 'CWE-570']"
147,primevul,289293,0,1,85,"['CWE-362']","['CWE-362', 'CWE-367', 'CWE-200', 'CWE-787']"
148,primevul,199767,1,1,90,"['CWE-22']","['CWE-120', 'CWE-787']"
149,primevul,292205,0,1,85,"['CWE-22']","['CWE-120', 'CWE-20']"
150,primevul,199836,1,1,95,"['CWE-125']","['CWE-476', 'CWE-121']"
151,primevul,293522,0,1,85,"['CWE-125']","['CWE-476', 'CWE-119']"
152,primevul,199841,1,1,85,"['CWE-476']","['CWE-416', 'CWE-367', 'CWE-789']"
153,primevul,293750,0,0,90,"['CWE-476']","[]"
154,primevul,199851,1,1,85,"['CWE-787']","['CWE-399', 'CWE-131', 'CWE-416', 'CWE-20']"
155,primevul,293939,0,0,85,"['CWE-787']","[]"
156,primevul,200113,1,1,85,"['CWE-787']","['CWE-121', 'CWE-190', 'CWE-404']"
157,primevul,299319,0,1,90,"['CWE-787']","['CWE-119', 'CWE-476', 'CWE-680', 'CWE-361', 'CWE-404']"
158,primevul,200305,1,1,85,"['CWE-787']","['CWE-126', 'CWE-788', 'CWE-680']"
159,primevul,301016,0,0,90,"['CWE-787']","[]"
160,primevul,200379,1,1,80,"['CWE-476']","['CWE-121', 'CWE-401', 'CWE-690']"
161,primevul,302095,0,1,85,"['CWE-476']","['CWE-401', 'CWE-133', 'CWE-20', 'CWE-758']"
162,primevul,200781,1,0,90,"['CWE-787']","[]"
163,primevul,309831,0,1,85,"['CWE-787']","['CWE-119', 'CWE-476', 'CWE-20']"
164,primevul,200976,1,1,85,"['CWE-787']","['CWE-476', 'CWE-787']"
165,primevul,313850,0,0,85,"['CWE-787']","[]"
166,primevul,201007,1,1,85,"['CWE-787']","['CWE-120', 'CWE-170']"
167,primevul,314536,0,0,85,"['CWE-787']","['CWE-476', 'CWE-587']"
168,primevul,201343,1,0,90,"['CWE-416']","[]"
169,primevul,317271,0,0,85,"['CWE-416']","['CWE-476']"
170,primevul,201384,1,1,85,"['CWE-787']","['CWE-119', 'CWE-20']"
171,primevul,318962,0,0,90,"['CWE-787']","[]"
172,primevul,201925,1,1,85,"['CWE-476']","['CWE-401', 'CWE-476']"
173,primevul,326914,0,0,80,"['CWE-476']","[]"
174,primevul,202082,1,1,85,"['CWE-125']","['CWE-476', 'CWE-125', 'CWE-674']"
175,primevul,328836,0,1,85,"['CWE-125']","['CWE-835', 'CWE-401', 'CWE-476']"
176,primevul,202125,1,1,85,"['CWE-787']","['CWE-119']"
177,primevul,329925,0,0,90,"['CWE-787']","['CWE-476', 'CWE-125', 'CWE-761', 'CWE-']"
178,primevul,202256,1,0,85,"['CWE-787']","['CWE-772', 'CWE-416', 'CWE-476', 'CWE-119']"
179,primevul,331760,0,0,95,"['CWE-787']","[]"
180,primevul,202276,1,0,75,"['CWE-787']","['CWE-789', 'CWE-131', 'CWE-119']"
181,primevul,332375,0,1,85,"['CWE-787']","['CWE-401', 'CWE-119', 'CWE-20']"
182,primevul,202392,1,0,95,"['CWE-119']","[]"
183,primevul,333503,0,0,90,"['CWE-119']","[]"
184,primevul,202659,1,0,70,"['CWE-125']","[]"
185,primevul,336106,0,0,85,"['CWE-125']","[]"
186,primevul,202688,1,1,85,"['CWE-787']","['CWE-125', 'CWE-129', 'CWE-787']"
187,primevul,336807,0,1,85,"['CWE-787']","['CWE-476', 'CWE-125', 'CWE-672', 'CWE-787']"
188,primevul,202708,1,1,85,"['CWE-476']","['CWE-476', 'CWE-590']"
189,primevul,337374,0,1,85,"['CWE-476']","['CWE-134', 'CWE-788', 'CWE-401', 'CWE-476']"
190,primevul,202783,1,0,75,"['CWE-119']","['CWE-130', 'CWE-759', 'CWE-401']"
191,primevul,339712,0,0,90,"['CWE-119']","[]"
192,primevul,202822,1,1,85,"['CWE-787']","['CWE-119', 'CWE-787', 'CWE-805']"
193,primevul,341817,0,1,75,"['CWE-787']","['CWE-119', 'CWE-20']"
194,primevul,202888,1,0,80,"['CWE-787']","[]"
195,primevul,343175,0,1,85,"['CWE-787']","['CWE-476', 'CWE-401', 'CWE-122', 'CWE-787', 'CWE-773']"
196,primevul,202889,1,0,85,"['CWE-787']","['CWE-119']"
197,primevul,343158,0,0,95,"['CWE-787']","[]"
198,primevul,343298,0,0,85,"['CWE-434']","[]"
199,primevul,202943,1,0,95,"['CWE-787']","[]"
200,primevul,344242,0,1,85,"['CWE-787']","['CWE-20', 'CWE-134', 'CWE-476']"
201,primevul,204036,1,1,75,"['CWE-787']","['CWE-674', 'CWE-561', 'CWE-259', 'CWE-457']"
202,primevul,349888,0,0,85,"['CWE-787']","[]"
203,primevul,204195,1,1,90,"['CWE-125']","['CWE-120']"
204,primevul,355014,0,0,100,"['CWE-125']","[]"
205,primevul,204243,1,1,85,"['CWE-787']","['CWE-20', 'CWE-77', 'CWE-119', 'CWE-141']"
206,primevul,355649,0,1,75,"['CWE-787']","['CWE-20', 'CWE-674', 'CWE-771']"
207,primevul,204278,1,0,85,"['CWE-94']","['CWE-119', 'CWE-125', 'CWE-367', 'CWE-391']"
208,primevul,356170,0,0,85,"['CWE-94']","['CWE-119', 'CWE-758', 'CWE-704']"
209,primevul,204351,1,1,75,"['CWE-125']","['CWE-20', 'CWE-416', 'CWE-758', 'CWE-687']"
210,primevul,357668,0,0,85,"['CWE-125']","['CWE-476', 'CWE-787']"
211,primevul,204412,1,0,90,"['CWE-787']","[]"
212,primevul,359206,0,0,95,"['CWE-787']","[]"
213,primevul,204425,1,0,95,"['CWE-125']","[]"
214,primevul,359365,0,0,95,"['CWE-125']","[]"
215,primevul,204534,1,1,85,"['CWE-125']","['CWE-476', 'CWE-119', 'CWE-130']"
216,primevul,361303,0,1,85,"['CWE-125']","['CWE-119']"
217,primevul,204535,1,0,85,"['CWE-125']","['CWE-130']"
218,primevul,361298,0,1,90,"['CWE-125']","['CWE-119', 'CWE-416', 'CWE-451']"
219,primevul,205630,1,0,95,"['CWE-94']","[]"
220,primevul,369215,0,0,90,"['CWE-94']","[]"
221,primevul,205734,1,0,85,"['CWE-787']","[]"
222,primevul,371185,0,0,95,"['CWE-787']","[]"
223,primevul,205806,1,1,80,"['CWE-269']","['CWE-78', 'CWE-120']"
224,primevul,372352,0,0,85,"['CWE-269']","['CWE-78', 'CWE-120', 'CWE-401']"
225,primevul,206043,1,0,85,"['CWE-125']","[]"
226,primevul,376678,0,1,80,"['CWE-125']","['CWE-121', 'CWE-130', 'CWE-134']"
227,primevul,206273,1,0,85,"['CWE-416']","[]"
228,primevul,379671,0,1,85,"['CWE-416']","['CWE-401', 'CWE-119', 'CWE-190', 'CWE-468']"
229,primevul,206555,1,1,90,"['CWE-119']","['CWE-119', 'CWE-787', 'CWE-681']"
230,primevul,382797,0,1,90,"['CWE-119']","['CWE-119', 'CWE-476']"
231,primevul,206588,1,1,90,"['CWE-119']","['CWE-125', 'CWE-126', 'CWE-674']"
232,primevul,383316,0,0,85,"['CWE-119']","[]"
233,primevul,206625,1,1,85,"['CWE-787']","['CWE-119', 'CWE-401', 'CWE-190']"
234,primevul,384124,0,0,85,"['CWE-787']","['CWE-401']"
235,primevul,206781,1,0,85,"['CWE-476']","[]"
236,primevul,386750,0,1,85,"['CWE-476']","['CWE-131', 'CWE-362', 'CWE-664']"
237,primevul,206815,1,1,85,"['CWE-125']","['CWE-789', 'CWE-476', 'CWE-404', 'CWE-682']"
238,primevul,387149,0,0,95,"['CWE-125']","[]"
239,primevul,206845,1,0,90,"['CWE-125']","[]"
240,primevul,387593,0,1,85,"['CWE-125']","['CWE-190', 'CWE-126']"
241,primevul,206942,1,0,85,"['CWE-125']","['CWE-787', 'CWE-119', 'CWE-20']"
242,primevul,389676,0,1,85,"['CWE-125']","['CWE-20', 'CWE-119', 'CWE-401']"
243,primevul,207520,1,1,85,"['CWE-787']","['CWE-761', 'CWE-401', 'CWE-124', 'CWE-129', 'CWE-476']"
244,primevul,398518,0,1,85,"['CWE-787']","['CWE-767', 'CWE-401', 'CWE-690', 'CWE-590']"
245,primevul,207700,1,1,85,"['CWE-362']","['CWE-20', 'CWE-703', 'CWE-200']"
246,primevul,400109,0,1,85,"['CWE-362']","['CWE-590', 'CWE-754']"
247,primevul,207703,1,1,85,"['CWE-362']","['CWE-121', 'CWE-362']"
248,primevul,400103,0,1,85,"['CWE-362']","['CWE-120', 'CWE-367']"
249,primevul,207719,1,0,80,"['CWE-787']","[]"
250,primevul,400409,0,0,90,"['CWE-787']","[]"
251,primevul,208370,1,1,90,"['CWE-787']","['CWE-119', 'CWE-476', 'CWE-20']"
252,primevul,408968,0,1,90,"['CWE-787']","['CWE-119', 'CWE-20', 'CWE-367', 'CWE-754']"
253,primevul,208522,1,0,85,"['CWE-190']","['CWE-401', 'CWE-121', 'CWE-22', 'CWE-134']"
254,primevul,412117,0,0,70,"['CWE-190']","['CWE-401', 'CWE-120']"
255,primevul,208525,1,0,85,"['CWE-787']","[]"
256,primevul,412190,0,0,85,"['CWE-787']","['CWE-20', 'CWE-121']"
257,primevul,208654,1,0,85,"['CWE-416']","[]"
258,primevul,413339,0,1,75,"['CWE-416']","['CWE-20', 'CWE-121', 'CWE-94']"
259,primevul,208987,1,1,85,"['CWE-416']","['CWE-416']"
260,primevul,417093,0,1,90,"['CWE-416']","['CWE-758', 'CWE-416']"
261,primevul,209026,1,1,80,"['CWE-119']","['CWE-476', 'CWE-401']"
262,primevul,417472,0,1,85,"['CWE-119']","['CWE-415', 'CWE-476']"
263,primevul,209801,1,1,85,"['CWE-476']","['CWE-476', 'CWE-570']"
264,primevul,421378,0,1,85,"['CWE-476']","['CWE-758', 'CWE-480', 'CWE-125']"
265,primevul,209931,1,0,85,"['CWE-190']","['CWE-130', 'CWE-681']"
266,primevul,424522,0,1,85,"['CWE-190']","['CWE-190', 'CWE-401', 'CWE-122']"
267,primevul,209955,1,0,95,"['CWE-476']","[]"
268,primevul,424969,0,0,95,"['CWE-476']","[]"
269,primevul,210050,1,0,80,"['CWE-125']","[]"
270,primevul,427153,0,0,85,"['CWE-125']","[]"
271,primevul,210090,1,0,85,"['CWE-787']","['CWE-119', 'CWE-563', 'CWE-416', 'CWE-202', 'CWE-470']"
272,primevul,427707,0,1,75,"['CWE-787']","['CWE-476', 'CWE-119', 'CWE-570', 'CWE-761']"
273,primevul,210203,1,1,85,"['CWE-787']","['CWE-680', 'CWE-703']"
274,primevul,430335,0,0,90,"['CWE-787']","['CWE-787']"
275,primevul,210204,1,1,85,"['CWE-362']","['CWE-190', 'CWE-120']"
276,primevul,430380,0,1,85,"['CWE-362']","['CWE-120', 'CWE-787']"
277,primevul,210271,1,1,85,"['CWE-787']","['CWE-119', 'CWE-190']"
278,primevul,432093,0,1,85,"['CWE-787']","['CWE-401', 'CWE-125', 'CWE-190', 'CWE-775', 'CWE-835', 'CWE-532', 'CWE-457']"
279,primevul,210278,1,0,85,"['CWE-476']","[]"
280,primevul,432247,0,0,90,"['CWE-476']","[]"
281,primevul,210282,1,1,85,"['CWE-125']","['CWE-125']"
282,primevul,432346,0,0,85,"['CWE-125']","[]"
283,primevul,210420,1,1,85,"['CWE-119']","['CWE-119', 'CWE-131']"
284,primevul,434902,0,1,90,"['CWE-119']","['CWE-119', 'CWE-122', 'CWE-787', 'CWE-122', 'CWE-787']"
285,primevul,210484,1,0,85,"['CWE-125']","[]"
286,primevul,436066,0,0,80,"['CWE-125']","['CWE-170', 'CWE-416', 'CWE-401', 'CWE-124']"
287,primevul,210520,1,1,85,"['CWE-125']","['CWE-476', 'CWE-121', 'CWE-20', 'CWE-1324']"
288,primevul,436990,0,0,85,"['CWE-125']","[]"
289,primevul,210551,1,0,90,"['CWE-125']","[]"
290,primevul,437291,0,1,85,"['CWE-125']","['CWE-476', 'CWE-682', 'CWE-825', 'CWE-401']"
291,primevul,210570,1,0,85,"['CWE-787']","[]"
292,primevul,437671,0,1,85,"['CWE-787']","['CWE-125']"
293,primevul,210636,1,0,90,"['CWE-416']","[]"
294,primevul,438876,0,0,95,"['CWE-416']","[]"
295,primevul,210700,1,1,90,"['CWE-22']","['CWE-119', 'CWE-401']"
296,primevul,439495,0,1,85,"['CWE-22']","['CWE-119', 'CWE-476']"
297,primevul,210701,1,0,90,"['CWE-22']","['CWE-119', 'CWE-401', 'CWE-476', 'CWE-759', 'CWE-825']"
298,primevul,210702,1,0,90,"['CWE-22']","[]"
299,primevul,439500,0,1,80,"['CWE-22']","['CWE-401', 'CWE-120', 'CWE-476']"
300,primevul,210834,1,0,75,"['CWE-863']","['CWE-20', 'CWE-134']"
301,primevul,440872,0,1,85,"['CWE-863']","['CWE-134', 'CWE-401']"
302,primevul,210904,1,1,80,"['CWE-125']","['CWE-570', 'CWE-571', 'CWE-704']"
303,primevul,442815,0,0,85,"['CWE-125']","['CWE-401', 'CWE-754']"
304,primevul,210928,1,1,85,"['CWE-476']","['CWE-476', 'CWE-824', 'CWE-401', 'CWE-667', 'CWE-390', 'CWE-754']"
305,primevul,443152,0,0,85,"['CWE-476']","['CWE-476', 'CWE-775']"
306,primevul,211090,1,0,85,"['CWE-20']","['CWE-787', 'CWE-20']"
307,primevul,444900,0,1,85,"['CWE-20']","['CWE-264', 'CWE-797', 'CWE-130', 'CWE-401', 'CWE-467']"
308,primevul,211102,1,1,90,"['CWE-22']","['CWE-20', 'CWE-416', 'CWE-399', 'CWE-400']"
309,primevul,445995,0,0,85,"['CWE-22']","['CWE-22', 'CWE-362']"
310,primevul,211103,1,0,85,"['CWE-22']","[]"
311,primevul,445881,0,0,85,"['CWE-22']","['CWE-476', 'CWE-690']"
312,primevul,211110,1,0,90,"['CWE-787']","[]"
313,primevul,446058,0,0,85,"['CWE-787']","[]"
314,primevul,211113,1,0,85,"['CWE-416']","['CWE-476', 'CWE-362']"
315,primevul,446096,0,1,90,"['CWE-416']","['CWE-476']"
316,primevul,211126,1,0,85,"['CWE-125']","['CWE-119', 'CWE-787', 'CWE-457', 'CWE-401']"
317,primevul,446279,0,1,85,"['CWE-125']","['CWE-119']"
318,primevul,211136,1,0,95,"['CWE-787']","[]"
319,primevul,446416,0,1,85,"['CWE-787']","['CWE-119', 'CWE-190']"
320,primevul,211179,1,0,85,"['CWE-125']","['CWE-119', 'CWE-401', 'CWE-835', 'CWE-190']"
321,primevul,447053,0,1,85,"['CWE-125']","['CWE-119', 'CWE-476', 'CWE-399', 'CWE-780']"
322,primevul,211471,1,0,85,"['CWE-125']","['CWE-476']"
323,primevul,448562,0,0,90,"['CWE-125']","[]"
324,primevul,211695,1,0,90,"['CWE-416']","[]"
325,primevul,450764,0,0,95,"['CWE-416']","[]"
326,primevul,211773,1,0,85,"['CWE-20']","[]"
327,primevul,451731,0,1,85,"['CWE-20']","['CWE-119', 'CWE-20', 'CWE-126']"
328,primevul,211842,1,1,85,"['CWE-787']","['CWE-120']"
329,primevul,452377,0,0,85,"['CWE-787']","[]"
330,primevul,211868,1,1,80,"['CWE-269']","['CWE-476']"
331,primevul,452994,0,1,85,"['CWE-269']","['CWE-476', 'CWE-20']"
332,primevul,212144,1,0,100,"['CWE-119']","[]"
333,primevul,455177,0,1,85,"['CWE-119']","['CWE-125']"
334,primevul,212152,1,1,85,"['CWE-787']","['CWE-732', 'CWE-703']"
335,primevul,455356,0,1,85,"['CWE-787']","['CWE-20', 'CWE-703']"
336,primevul,212339,1,1,85,"['CWE-119']","['CWE-476']"
337,primevul,457772,0,1,85,"['CWE-119']","['CWE-120', 'CWE-126']"
338,primevul,212414,1,0,95,"['CWE-416']","[]"
339,primevul,459107,0,0,85,"['CWE-416']","[]"
340,primevul,212436,1,0,85,"['CWE-787']","[]"
341,primevul,459524,0,0,80,"['CWE-787']","['CWE-190', 'CWE-476']"
342,primevul,212822,1,1,90,"['CWE-787']","['CWE-675', 'CWE-119', 'CWE-481']"
343,primevul,462316,0,1,85,"['CWE-787']","['CWE-119', 'CWE-20', 'CWE-416']"
344,primevul,212829,1,1,85,"['CWE-476']","['CWE-401', 'CWE-416', 'CWE-20', 'CWE-451', 'CWE-125']"
345,primevul,462395,0,0,80,"['CWE-476']","['CWE-416', 'CWE-20', 'CWE-758', 'CWE-390']"
346,primevul,212834,1,1,85,"['CWE-190']","['CWE-119', 'CWE-20', 'CWE-190', 'CWE-475']"
347,primevul,462409,0,1,85,"['CWE-190']","['CWE-120', 'CWE-190', 'CWE-755', 'CWE-476', 'CWE-703']"
348,primevul,212857,1,0,85,"['CWE-416']","[]"
349,primevul,462511,0,0,85,"['CWE-416']","[]"
