run,source,idx,true_vuln,predicted_vuln,predicted_confidence,cwe
55,devign_qemu_c2b38b277a7882a592f4f2ec955084b2b756daaa,57,0,0,9,"['Unknown CWE']"
56,devign_qemu_a8170e5e97ad17ca169c64ba87ae2f53850dab4c,58,0,1,9,"['Unknown CWE']"
57,devign_qemu_4be746345f13e99e468c60acbd3a355e8183e3ce,59,0,0,8,"['Unknown CWE']"
58,devign_FFmpeg_68f593b48433842f3407586679fe07f3e5199ab9,60,0,1,9,"['Unknown CWE']"
59,devign_FFmpeg_595cf1a1aa09f6214eed57bd9eb6493456918efe,61,0,1,9,"['Unknown CWE']"
60,devign_qemu_d4a63ac8b19eb208465f27fde63f3cff7018fdfd,62,0,1,9,"['Unknown CWE']"
61,devign_qemu_5858dd1801883309bdd208d72ddb81c4e9fee30c,63,0,1,9,"['Unknown CWE']"
62,devign_qemu_88ddffae8fc1e30cc907c2dbb989b7eba9e62319,64,0,1,8,"['Unknown CWE']"
63,devign_qemu_856d72454f03aea26fd61c728762ef9cd1d71512,65,0,0,8,"['Unknown CWE']"
64,devign_qemu_1c275925bfbbc2de84a8f0e09d1dd70bbefb6da3,66,0,0,8,"['Unknown CWE']"
65,devign_qemu_b2c98d9d392c87c9b9e975d30f79924719d9cbbe,67,0,0,8,"['Unknown CWE']"
66,devign_qemu_46f70ff148ae01e2dc96e64c393e295a0092555d,68,0,0,9,"['Unknown CWE']"
67,devign_qemu_a89f364ae8740dfc31b321eed9ee454e996dc3c1,69,0,1,9,"['Unknown CWE']"
68,devign_qemu_f1c52354e5bdab6983d13a4c174759c585e834b3,70,0,0,8,"['Unknown CWE']"
69,devign_qemu_3098dba01c7daab60762b6f6624ea88c0d6cb65a,71,0,1,9,"['Unknown CWE']"
70,devign_FFmpeg_83fd377c94d8fbffdb3e69fb3efe1976ff897a88,72,0,0,8,"['Unknown CWE']"
71,devign_qemu_b854bc196f5c4b4e3299c0b0ee63cf828ece9e77,73,0,0,7,"['Unknown CWE']"
72,devign_qemu_0e9b9edae7bebfd31fdbead4ccbbce03876a7edd,74,0,1,9,"['Unknown CWE']"
73,devign_qemu_df1561e22df42643d769aacdcc7d6d239f243366,75,0,1,9,"['Unknown CWE']"
74,devign_qemu_9121d02cb33c96b444a3973579f5edc119597e81,76,0,0,9,"['Unknown CWE']"
75,devign_qemu_fe3c546c5ff2a6210f9a4d8561cc64051ca8603e,77,1,1,8,"['Unknown CWE']"
76,devign_FFmpeg_f73f76fd202b310e8e1d0215b2e0cf038cd18c4a,78,1,1,9,"['Unknown CWE']"
77,devign_qemu_0d9acba8fddbf970c7353083e6a60b47017ce3e4,79,1,1,8,"['Unknown CWE']"
78,devign_qemu_2bd3bce8efebe86b031beab5c0e3b9bbaec0b502,80,1,1,8,"['Unknown CWE']"
79,devign_qemu_e23a1b33b53d25510320b26d9f154e19c6c99725,81,1,1,9,"['Unknown CWE']"
80,devign_qemu_a005b3ef50439b5bc6b2eb0b5bda8e8c7c2368bf,82,1,0,9,"['Unknown CWE']"
81,devign_qemu_5c6c0e513600ba57c3e73b7151d3c0664438f7b5,83,1,1,9,"['Unknown CWE']"
82,devign_qemu_4482e05cbbb7e50e476f6a9500cf0b38913bd939,84,1,1,9,"['Unknown CWE']"
83,devign_qemu_976620ac4018db142d82cd42bb7774f40290ce7e,85,1,1,9,"['Unknown CWE']"
84,devign_qemu_1e37d05904e300a0bfc8e3240e24ecc83d54c2e3,86,1,1,9,"['Unknown CWE']"
85,devign_FFmpeg_c3ab0004ae4dffc32494ae84dd15cfaa909a7884,87,1,1,9,"['Unknown CWE']"
86,devign_qemu_ce5b1bbf624b977a55ff7f85bb3871682d03baff,88,1,0,9,"['Unknown CWE']"
87,devign_qemu_80ee15a6b274dfcedb0ad7db8c9e7d392210d6a1,89,1,0,8,"['Unknown CWE']"
88,devign_FFmpeg_967d2ae616a1fc6ffc2c00810e09c232dfdb7911,90,1,1,9,"['Unknown CWE']"
89,devign_qemu_d9bce9d99f4656ae0b0127f7472db9067b8f84ab,91,1,0,8,"['Unknown CWE']"
90,devign_qemu_8f2ad0a3fc5e3569183d44bf1c7fcb95294be4c0,92,1,1,9,"['Unknown CWE']"
91,devign_FFmpeg_01923bab98506b1e98b4cbf08419364ce6ffea6d,93,1,0,8,"['Unknown CWE']"
92,devign_FFmpeg_68f593b48433842f3407586679fe07f3e5199ab9,94,0,1,9,"['Unknown CWE']"
93,devign_FFmpeg_469f5f251dc3acbb4c4fd12c597d57768119af4a,95,0,1,9,"['Unknown CWE']"
94,devign_FFmpeg_269fc8e04906ffd965aa19425ca90980b23c6508,96,0,0,8,"['Unknown CWE']"
95,devign_qemu_95129d6fc9ead97155627a4ca0cfd37282883658,97,0,0,9,"['Unknown CWE']"
96,devign_FFmpeg_d1adad3cca407f493c3637e20ecd4f7124e69212,98,0,1,8,"['Unknown CWE']"
97,devign_qemu_91bfcdb01d4869aa8f4cb67007827de63b8c2217,99,0,0,9,"['Unknown CWE']"
98,devign_qemu_90e496386fe7fd32c189561f846b7913f95b8cf4,100,0,0,9,"['Unknown CWE']"
99,devign_qemu_8607f5c3072caeebbe0217df28651fffd3a79fd9,101,0,0,8,"['Unknown CWE']"
100,devign_qemu_7df953bd456da45f761064974820ab5c3fd7b2aa,102,0,1,9,"['Unknown CWE']"
101,devign_qemu_9be385980d37e8f4fd33f605f5fb1c3d144170a8,103,0,0,8,"['Unknown CWE']"
102,devign_qemu_a7812ae412311d7d47f8aa85656faadac9d64b56,104,0,1,8,"['Unknown CWE']"
103,devign_qemu_6acbe4c6f18e7de00481ff30574262b58526de45,105,0,0,9,"['Unknown CWE']"
104,devign_qemu_8607f5c3072caeebbe0217df28651fffd3a79fd9,106,0,1,9,"['Unknown CWE']"
105,devign_qemu_e8ede0a8bb5298a6979bcf7ed84ef64a64a4e3fe,107,0,1,8,"['Unknown CWE']"
106,devign_qemu_cf57298af5336df2aece47ef16c290a3a81457dd,108,0,1,9,"['Unknown CWE']"
107,devign_FFmpeg_13a099799e89a76eb921ca452e1b04a7a28a9855,109,0,1,8,"['Unknown CWE']"
108,devign_qemu_b456a71c4a1eb5704d135fd08da9a0de8fd81231,110,0,0,9,"['Unknown CWE']"
109,devign_qemu_7c560456707bfe53eb1728fcde759be7d9418b62,111,0,1,9,"['Unknown CWE']"
110,devign_qemu_b9bec74bcb16519a876ec21cd5277c526a9b512d,112,0,0,9,"['Unknown CWE']"
111,devign_qemu_32bafa8fdd098d52fbf1102d5a5e48d29398c0aa,113,0,1,8,"['Unknown CWE']"
112,devign_qemu_e12f3784097a26a1ba51be420f41038b4c0ae5d1,114,0,1,9,"['Unknown CWE']"
113,devign_qemu_35c2c8dc8c0899882a8e0d349d93bd657772f1e7,115,0,0,9,"['Unknown CWE']"
114,devign_qemu_d2889a3efc3851e62de69cb9d88fb784c28e0ed8,116,0,0,8,"['Unknown CWE']"
115,devign_FFmpeg_f20b67173ca6a05b8c3dee02dad3b7243b96292b,117,0,0,9,"['Unknown CWE']"
116,devign_FFmpeg_fd542b6f2026f1aa163882ee0283958598a97c31,118,0,0,9,"['Unknown CWE']"
117,devign_FFmpeg_4ea7744859dc3d214ef13e920f5d07b070920e3f,119,1,0,8,"['Unknown CWE']"
118,devign_qemu_60fe637bf0e4d7989e21e50f52526444765c63b4,120,1,1,9,"['Unknown CWE']"
119,devign_FFmpeg_c23acbaed40101c677dfcfbbfe0d2c230a8e8f44,121,1,1,9,"['Unknown CWE']"
120,devign_qemu_301c7d38a0c359b91526391d13617386f3d9bb29,122,1,1,9,"['Unknown CWE']"
121,devign_FFmpeg_7ec414892ddcad88313848494b6fc5f437c9ca4a,123,1,1,9,"['Unknown CWE']"
122,devign_FFmpeg_747a0554ea8ad09404c1f5b80239ebd8d71b291e,124,1,1,9,"['Unknown CWE']"
123,devign_FFmpeg_39bb30f6640fe1faf4bbc779a79786028febc95d,125,1,1,9,"['Unknown CWE']"
124,devign_FFmpeg_8bcf5840ea2a6a92c75ab3219f89fe0b8a53cf50,126,0,1,8,"['Unknown CWE']"
125,devign_FFmpeg_c3e6e8f06c42499bd020fd0b37f9542150e6067b,127,0,1,8,"['Unknown CWE']"
126,devign_FFmpeg_44e43aab036595a8f6d78c9306864d00f35ebbb1,128,0,1,9,"['Unknown CWE']"
127,devign_FFmpeg_4e4ae2f82caacd03fe936e5553c2e8f70ee109e9,130,0,0,9,"['Unknown CWE']"
128,devign_qemu_abed886ec60cf239a03515cf0b30fb11fa964c44,131,1,0,8,"['Unknown CWE']"
129,devign_qemu_63fa06dc978f3669dbfd9443b33cde9e2a7f4b41,132,1,1,8,"['Unknown CWE']"
130,devign_qemu_efec3dd631d94160288392721a5f9c39e50fb2bc,133,1,0,9,"['Unknown CWE']"
131,devign_FFmpeg_428098165de4c3edfe42c1b7f00627d287015863,134,1,1,9,"['Unknown CWE']"
132,devign_qemu_0fcec41eec0432c77645b4a407d3a3e030c4abc4,135,1,1,8,"['Unknown CWE']"
133,devign_qemu_7c8730d45f63b76588da5ea0d4eff73a0bcae188,136,1,1,9,"['Unknown CWE']"
